ID,name,namespace,definition
GO:0002218,activation of innate immune response,biological_process,Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species.
GO:0002220,innate immune response activating cell surface receptor signaling pathway,biological_process,Any series of molecular signals leading to activation of the innate immune response generated as a consequence of binding to a cell surface receptor.
GO:0002225,positive regulation of antimicrobial peptide production,biological_process,"Any process that activates or increases the frequency, rate, or extent of antimicrobial peptide production."
GO:0002227,innate immune response in mucosa,biological_process,Any process of the innate immune response that takes place in the mucosal tissues.
GO:0002230,positive regulation of defense response to virus by host,biological_process,"Any host process that results in the promotion of antiviral immune response mechanisms, thereby limiting viral replication."
GO:0002253,activation of immune response,biological_process,Any process that initiates an immune response.
GO:0002758,innate immune response-activating signal transduction,biological_process,"A series of molecular signals generated as a consequence of a pathogen or microbial effector binding to a plant 'resistance-gene' receptor to activate a plant immune response, usually plant-type hypersensitive response."
GO:0002759,regulation of antimicrobial humoral response,biological_process,"Any process that modulates the frequency, rate, or extent of an antimicrobial humoral response."
GO:0002760,positive regulation of antimicrobial humoral response,biological_process,"Any process that activates or increases the frequency, rate, or extent of an antimicrobial humoral response."
GO:0002766,innate immune response-inhibiting signal transduction,biological_process,"The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to inhibition of an innate immune response."
GO:0002775,antimicrobial peptide production,biological_process,"The synthesis or release of an antimicrobial peptide during an immune response, resulting in an increase in intracellular or extracellular levels. Such peptides may have protective properties against bacteria, fungi, viruses, or protozoa."
GO:0002776,antimicrobial peptide secretion,biological_process,"The regulated release of an antimicrobial peptide from a cell or a tissue. Such peptides may have protective properties against bacteria, fungi, viruses, or protozoa."
GO:0002777,antimicrobial peptide biosynthetic process,biological_process,"The chemical reactions and pathways resulting in the formation of an antimicrobial peptide. Such peptides may have protective properties against bacteria, fungi, viruses, or protozoa."
GO:0002778,antibacterial peptide production,biological_process,"The synthesis or release of an antibacterial peptide during an immune response, resulting in an increase in intracellular or extracellular levels."
GO:0002779,antibacterial peptide secretion,biological_process,The regulated release of an antibacterial peptide from a cell or a tissue.
GO:0002780,antibacterial peptide biosynthetic process,biological_process,The chemical reactions and pathways resulting in the formation of an antibacterial peptide.
GO:0002781,antifungal peptide production,biological_process,"The synthesis or release of an antifungal peptide during an immune response, resulting in an increase in intracellular or extracellular levels."
GO:0002782,antifungal peptide secretion,biological_process,The regulated release of an antifungal peptide from a cell or a tissue.
GO:0002783,antifungal peptide biosynthetic process,biological_process,The chemical reactions and pathways resulting in the formation of an antifungal peptide.
GO:0002784,regulation of antimicrobial peptide production,biological_process,"Any process that modulates the frequency, rate, or extent of antimicrobial peptide production."
GO:0002785,negative regulation of antimicrobial peptide production,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antimicrobial peptide production."
GO:0002786,regulation of antibacterial peptide production,biological_process,"Any process that modulates the frequency, rate, or extent of antibacterial peptide production."
GO:0002787,negative regulation of antibacterial peptide production,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antibacterial peptide production."
GO:0002788,regulation of antifungal peptide production,biological_process,"Any process that modulates the frequency, rate, or extent of antifungal peptide production."
GO:0002789,negative regulation of antifungal peptide production,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antifungal peptide production."
GO:0002794,regulation of antimicrobial peptide secretion,biological_process,"Any process that modulates the frequency, rate, or extent of antimicrobial peptide secretion."
GO:0002795,negative regulation of antimicrobial peptide secretion,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antimicrobial peptide secretion."
GO:0002796,positive regulation of antimicrobial peptide secretion,biological_process,"Any process that activates or increases the frequency, rate, or extent of antimicrobial peptide secretion."
GO:0002797,regulation of antibacterial peptide secretion,biological_process,"Any process that modulates the frequency, rate, or extent of antibacterial peptide secretion."
GO:0002798,negative regulation of antibacterial peptide secretion,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antibacterial peptide secretion."
GO:0002799,positive regulation of antibacterial peptide secretion,biological_process,"Any process that activates or increases the frequency, rate, or extent of antibacterial peptide secretion."
GO:0002800,regulation of antifungal peptide secretion,biological_process,"Any process that modulates the frequency, rate, or extent of antifungal peptide secretion."
GO:0002801,negative regulation of antifungal peptide secretion,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antifungal peptide secretion."
GO:0002802,positive regulation of antifungal peptide secretion,biological_process,"Any process that activates or increases the frequency, rate, or extent of antifungal peptide secretion."
GO:0002803,positive regulation of antibacterial peptide production,biological_process,"Any process that activates or increases the frequency, rate, or extent of antibacterial peptide production."
GO:0002804,positive regulation of antifungal peptide production,biological_process,"Any process that activates or increases the frequency, rate, or extent of antifungal peptide production."
GO:0002805,regulation of antimicrobial peptide biosynthetic process,biological_process,"Any process that modulates the frequency, rate, or extent of antimicrobial peptide biosynthesis."
GO:0002806,negative regulation of antimicrobial peptide biosynthetic process,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antimicrobial peptide biosynthesis."
GO:0002807,positive regulation of antimicrobial peptide biosynthetic process,biological_process,"Any process that activates or increases the frequency, rate, or extent of antimicrobial peptide biosynthesis."
GO:0002808,regulation of antibacterial peptide biosynthetic process,biological_process,"Any process that modulates the frequency, rate, or extent of antibacterial peptide biosynthesis."
GO:0002809,negative regulation of antibacterial peptide biosynthetic process,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antibacterial peptide biosynthesis."
GO:0002810,regulation of antifungal peptide biosynthetic process,biological_process,"Any process that modulates the frequency, rate, or extent of antifungal peptide biosynthesis."
GO:0002811,negative regulation of antifungal peptide biosynthetic process,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antifungal peptide biosynthesis."
GO:0002812,biosynthetic process of antibacterial peptides active against Gram-negative bacteria,biological_process,The chemical reactions and pathways resulting in the formation of an antibacterial peptide with activity against Gram-negative bacteria.
GO:0002813,regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria,biological_process,"Any process that modulates the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-negative bacteria."
GO:0002814,negative regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-negative bacteria."
GO:0002815,biosynthetic process of antibacterial peptides active against Gram-positive bacteria,biological_process,The chemical reactions and pathways resulting in the formation of an antibacterial peptide with activity against Gram-positive bacteria.
GO:0002816,regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria,biological_process,"Any process that modulates the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-positive bacteria."
GO:0002817,negative regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-positive bacteria."
GO:0002838,negative regulation of immune response to tumor cell,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of an immune response to tumor cell."
GO:0002839,positive regulation of immune response to tumor cell,biological_process,"Any process that activates or increases the frequency, rate, or extent of an immune response to tumor cell."
GO:0002922,positive regulation of humoral immune response,biological_process,"Any process that activates or increases the frequency, rate, or extent of a humoral immune response."
GO:0006955,immune response,biological_process,Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat.
GO:0006962,male-specific antibacterial humoral response,biological_process,"An immune response against bacteria, specific to males and mediated through a body fluid."
GO:0006963,positive regulation of antibacterial peptide biosynthetic process,biological_process,"Any process that activates or increases the frequency, rate, or extent of antibacterial peptide biosynthesis."
GO:0006964,positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria,biological_process,"Any process that activates or increases the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-negative bacteria."
GO:0006965,positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria,biological_process,"Any process that activates or increases the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-positive bacteria."
GO:0006967,positive regulation of antifungal peptide biosynthetic process,biological_process,"Any process that activates or increases the frequency, rate, or extent of antifungal peptide biosynthesis."
GO:0008348,negative regulation of antimicrobial humoral response,biological_process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of an antimicrobial humoral response."
GO:0010185,regulation of cellular defense response,biological_process,"Any process that modulates the frequency, rate or extent of cellular defense response."
GO:0010186,positive regulation of cellular defense response,biological_process,"Any process that activates or increases the frequency, rate or extent of cellular defense response."
GO:0019730,antimicrobial humoral response,biological_process,An immune response against microbes mediated through a body fluid. Examples of this process are seen in the antimicrobial humoral response of Drosophila melanogaster and Mus musculus.
GO:0019731,antibacterial humoral response,biological_process,An immune response against bacteria mediated through a body fluid. Examples of this process are the antibacterial humoral responses in Mus musculus and Drosophila melanogaster.
GO:0019732,antifungal humoral response,biological_process,An immune response against a fungus mediated through a body fluid. An example of this process is the antifungal humoral response in Drosophila melanogaster.
GO:0035420,MAPK cascade involved in innate immune response,biological_process,"A MAPK cascade that contributes to an innate immune response, a defense response mediated by germline encoded components that directly recognize components of potential pathogens."
GO:0038078,MAP kinase phosphatase activity involved in regulation of innate immune response,molecular_function,"Catalysis of the reaction: a phosphorylated MAP kinase + H2O = a MAP kinase + phosphate, where the MAP kinase (MAPK) is part of a MAPK signaling cascade that contributes to an innate immune response."
GO:0045087,innate immune response,biological_process,Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens.
GO:0045088,regulation of innate immune response,biological_process,"Any process that modulates the frequency, rate or extent of the innate immune response, the organism's first line of defense against infection."
GO:0045089,positive regulation of innate immune response,biological_process,"Any process that activates or increases the frequency, rate or extent of the innate immune response, the organism's first line of defense against infection."
GO:0045824,negative regulation of innate immune response,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the innate immune response."
GO:0046730,induction by virus of host immune response,biological_process,The induction by a virus of an immune response in the host organism.
GO:0046736,induction of humoral immune response in host by virus,biological_process,"The intentional, virally-encoded stimulation of a host humoral defense response to viral infection."
GO:0046737,induction of cell-mediated immune response in host by virus,biological_process,"The intentional, virally-encoded stimulation of a cell-mediated host defense response to viral infection."
GO:0046738,induction of innate immune response in host by virus,biological_process,"The intentional, virally-encoded stimulation of an innate host defense response to viral infection."
GO:0050687,negative regulation of defense response to virus,biological_process,"Any process that stops, prevents or reduces the rate or extent of antiviral mechanisms, thereby facilitating viral replication."
GO:0050688,regulation of defense response to virus,biological_process,"Any process that modulates the frequency, rate or extent of the antiviral response of a cell or organism."
GO:0050689,negative regulation of defense response to virus by host,biological_process,"Any host process that results in the inhibition of antiviral immune response mechanisms, thereby facilitating viral replication. The host is defined as the larger of the organisms involved in a symbiotic interaction."
GO:0050690,regulation of defense response to virus by virus,biological_process,"Any viral process that modulates the frequency, rate, or extent of the antiviral response of the host cell or organism."
GO:0050691,regulation of defense response to virus by host,biological_process,"Any host process that modulates the frequency, rate, or extent of the antiviral response of a host cell or organism."
GO:0050776,regulation of immune response,biological_process,"Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
GO:0050777,negative regulation of immune response,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
GO:0050778,positive regulation of immune response,biological_process,"Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
GO:0051245,negative regulation of cellular defense response,biological_process,"Any process that stops, prevents, or reduces the rate of the cellular defense response."
GO:0052034,suppression by symbiont of microbe-associated molecular pattern-induced host innate immune response,biological_process,"Any process that involves recognition of a microbe-associated molecular pattern, and by which a symbiont stops, prevents, or reduces the frequency, rate or extent of the innate immune response of the host organism; the innate immune response is the host's first line of defense against infection. The host is defined as the larger of the organisms involved in a symbiotic interaction."
GO:0052080,modulation by symbiont of host innate immune response MAPK kinase signaling,biological_process,"Any process in which an organism modulates the frequency, rate or extent of a host MAP kinase-mediated signal transduction pathway during the host innate immune response. The host is defined as the larger of the organisms involved in a symbiotic interaction."
GO:0052167,modulation by symbiont of host innate immune response,biological_process,"Any process in which a symbiont modulates the frequency, rate or extent of the innate immune response of the host organism; the innate immune response is the host's first line of defense against infection. The host is defined as the larger of the organisms involved in a symbiotic interaction."
GO:0052170,suppression by symbiont of host innate immune response,biological_process,"Any process in which a symbiont stops, prevents, or reduces the frequency, rate or extent of the innate immune response of the host organism, the host's first line of defense against infection. The host is defined as the larger of the organisms involved in a symbiotic interaction."
GO:0052390,induction by symbiont of host innate immune response,biological_process,The activation by a symbiont of the innate immune response of the host organism; the innate immune response is the host's first line of defense against infection. The host is defined as the larger of the organisms involved in a symbiotic interaction.
GO:0052553,modulation by symbiont of host immune response,biological_process,"Any process in which a symbiont modulates the frequency, rate or extent of the immune response of the host organism; the immune response is any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat. The host is defined as the larger of the organisms involved in a symbiotic interaction."
GO:0061760,antifungal innate immune response,biological_process,An defense response against a fungus mediated through an innate immune response. An innate immune response is mediated by germline encoded components that directly recognize components of potential pathogens.
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,biological_process,An immune response against microbes mediated by anti-microbial peptides in body fluid.
GO:0090644,age-related resistance,biological_process,"An innate immune response that is positively correlated with host plant development. As a plant develops, its innate resistance to pathogenic infections increases. The mechanisms involved in age-related resistance differ in nature or in aspects of regulation from the hypersensitive response (HR), systemic acquired resistance (SAR), or induced systemic resistance (ISR)."
GO:0090714,innate immunity memory response,biological_process,"An immune response mediated by the innate immune system and directed against a previously encountered immunologic stimulus, being quicker and quantitatively better compared with the initial response to that stimulus."
GO:0140367,antibacterial innate immune response,biological_process,An defense response against a bacteria mediated through an innate immune response. An innate immune response is mediated by germline encoded components that directly recognize components of potential pathogens.
GO:0140374,antiviral innate immune response,biological_process,A defense response against viruses mediated through an innate immune response. An innate immune response is mediated by germline encoded components that directly recognize components of potential pathogens.
GO:0140376,innate immune receptor activity,molecular_function,Receiving a signal and transmitting it in a cell to initiate an innate immune response.
GO:0140533,suppression of host RNAi-mediated antiviral immune response,biological_process,"Any process in which a symbiont stops, prevents, or reduces the rate or extent of the host's RNAi-mediated antiviral immune response. The host is defined as the larger of the organisms involved in a symbiotic interaction."
GO:1900150,regulation of defense response to fungus,biological_process,"Any process that modulates the frequency, rate or extent of defense response to fungus."
GO:1900366,negative regulation of defense response to insect,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of defense response to insect."
GO:1900367,positive regulation of defense response to insect,biological_process,"Any process that activates or increases the frequency, rate or extent of defense response to insect."
GO:1900424,regulation of defense response to bacterium,biological_process,"Any process that modulates the frequency, rate or extent of defense response to bacterium."
GO:1900425,negative regulation of defense response to bacterium,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of defense response to bacterium."
GO:1900426,positive regulation of defense response to bacterium,biological_process,"Any process that activates or increases the frequency, rate or extent of defense response to bacterium."
GO:1905034,regulation of antifungal innate immune response,biological_process,"Any process that modulates the frequency, rate or extent of an antifungal innate immune response."
GO:1905035,negative regulation of antifungal innate immune response,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of an antifungal innate immune response."
GO:1905036,positive regulation of antifungal innate immune response,biological_process,"Any process that activates or increases the frequency, rate or extent of an antifungal innate immune response."
GO:1905680,regulation of innate immunity memory response,biological_process,"Any process that modulates the frequency, rate or extent of innate immunity memory response."
GO:1905681,negative regulation of innate immunity memory response,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of innate immunity memory response."
GO:2000068,regulation of defense response to insect,biological_process,"Any process that modulates the frequency, rate or extent of defense response to insect."
GO:2000071,regulation of defense response by callose deposition,biological_process,"Any process that modulates the frequency, rate or extent of defense response by callose deposition."
